199208,23.91,49.31,73.72,106.96,145.79,197.15,258.13,329.79,411.51,540.14,694.62,871.22,1042.06,1333.42,1757.55,2477.8,3243.3,5012.2,8782.26,79798.5
199209,24.59,52.08,75.2,108.69,155.35,199.86,272.35,337.12,421.64,547.56,710.78,881.56,1085.71,1354.99,1765.89,2588.8,3390.18,5236.3,8952.4,79299.73
199210,24.7,52.62,76.3,114.6,158.01,208.99,269.1,348.75,443.39,554.26,730.14,909.34,1109.97,1385.46,1848.4,2598.57,3394.66,5131.94,9135.85,76040.84
199211,27.56,57.05,82.61,121.91,169.42,224.3,283.51,369.95,467.7,583.79,760.54,958.89,1156.96,1454.94,1910.71,2643.89,3547.5,5362.99,9431.62,73980.07
199212,31.47,58.93,88.22,130.16,178.78,233.27,289.98,371.52,479.51,603.19,785.74,964.93,1178.08,1475.93,1942.08,2717.55,3546.97,5322.15,9370.88,75884.43
199301,33.09,62.37,89.81,135.26,187.45,242.71,299.95,383.4,498.36,626.16,801.07,990.38,1207.65,1494.07,2005.23,2737.74,3631.71,5381.88,9412.96,75884.43
199302,32.03,61.17,89.57,133.07,186.22,235.7,301.73,379.3,479.48,611.96,784.05,973.25,1197.09,1498.28,2014.83,2742.76,3656.59,5497.55,9488.24,78988.09
199303,33.57,62.95,92.64,140.49,192.38,244.91,322.9,396.9,505.8,628.3,806.84,999.19,1266.04,1516.77,2082.35,2853.76,3808.67,5526.1,9806.38,82127.25
199304,32.92,60.92,88.86,138.45,193.04,241.55,308.52,393.59,496.3,620.66,778.02,976.6,1223.48,1475.88,2044.32,2747.92,3746.03,5285.41,9540.1,81972
199305,33.58,62.69,91.75,146.22,197.84,248.44,324.5,412.68,513.94,630.05,792.82,983.53,1242.65,1535.07,2050,2770.05,3737.94,5333.35,9470.69,82139.95
199306,33.42,60.84,94.89,145.62,201.42,253.57,326.05,414.95,505.44,640.11,811.76,1018.31,1234.09,1572.28,2062.61,2855.41,3725.19,5462.86,9671.64,84682.02
199307,33.42,62.13,96.71,147.41,198.77,256.06,326.66,404.12,523.57,628.3,804.9,1033.88,1262.36,1548,2034.77,2829.11,3826.35,5322.41,9886.7,85186.08
199308,34.01,63.8,102.04,150.2,206.96,267.39,337.36,421.65,530.86,635.93,836.07,1074.62,1303.23,1615.66,2133.19,2933.63,3943.62,5501.49,10169.77,84514
199309,34.35,64.21,105.94,156,210.37,274.95,345.29,426.37,536.7,649.46,836.83,1063.44,1320.85,1610.89,2144.94,2923.88,3967.2,5462.51,10225.45,81891.34
199310,35.83,66.77,110.13,161.77,217.43,277.85,348.74,435.5,542.04,667.39,837.21,1041.35,1309,1597.8,2143.33,2903.71,3971.24,5450.73,10053.94,82852.26
199311,41.74,66.29,111.98,163.31,213.71,269.85,343.35,423.79,526.98,661.13,812.58,1018.98,1237.07,1587.92,2047.12,2820.04,3812.01,5410.64,9516.59,84026.71
199312,43,69.1,119.01,167.9,218.08,281.94,350.97,430.72,549.74,679.63,830.5,1031.94,1300.39,1620.71,2133.63,2928.71,4008.37,5572.41,9412.14,89451.55
199401,45.45,75.24,125.1,171.29,219.48,281.87,357.79,446.65,563.96,687.27,863.72,1062.94,1310.75,1653.36,2130.81,2924.6,3983.1,5727.34,9814.01,91903.74
199402,46.8,73.82,123,163.53,220.89,280.99,352.55,444.11,557.95,681.24,850.27,1066.15,1274.43,1635.51,2070.5,2854.28,3905.43,5412.6,9999.32,89878.02
199403,46.58,71.59,118.27,156.76,206.03,264.67,330.19,418.02,525.24,643.19,804.71,990,1207.14,1509.43,1972.16,2714.72,3813.24,5165.39,9225.89,85383.3
199404,45.96,70.65,120.54,156.62,211.12,270.74,326.35,427.89,515.83,631.57,790.99,990.66,1229.83,1493.96,2014.42,2687.66,3732.42,5334.08,9774.7,81327.59
199405,45.88,70.06,118.04,154.01,204.31,253.51,325.85,407.35,506.18,627.16,778.28,953.97,1199.77,1518.87,1987.66,2669.96,3706.82,5281.62,9687.35,84956.38
199406,43.54,65.36,111.22,151.28,199.81,252.58,317.96,397.34,507.85,617.35,758.4,933.18,1182.07,1470.98,1929.1,2571.67,3594.24,5217.04,8973.44,79746.79
199407,44.03,68.02,111.02,153.93,204.77,250.22,324.67,411.98,507.9,627.53,771.01,967.11,1216.76,1540.39,1929.07,2671.48,3650.66,5189.67,9253.7,86160.74
199408,45.24,71.16,114.21,159.72,212.15,262.48,341.31,433.01,534.97,658.4,822.78,1011.63,1253.38,1605.66,2074.88,2753.81,3758.03,5556.71,9691.38,85190.26
199409,45.56,73.03,114.26,162.28,208.96,263.41,340.79,422.15,527.44,649.25,796.07,1003.25,1221.32,1545.91,1955.58,2736.84,3630.77,5270.91,9623.03,84752.35
199410,47.31,74.22,113.8,160.65,212.05,252.85,330.27,418.22,522.12,657.17,790.66,986.02,1214.57,1555.79,1990.17,2707.46,3682.12,5316.87,9774.97,86287.2
199411,43.57,70.68,106.94,150.16,196.88,240.08,312.19,400.71,494.64,612.79,753.47,912.39,1132.84,1456.49,1912.93,2506.49,3507.81,5127.15,9219.83,78644.36
199412,45.46,69.32,105.03,146.2,199.9,244.89,311.44,403.88,501.49,613.28,764.91,943.95,1139.93,1435.06,1905.44,2495.4,3504.41,5089.31,9188.23,87192.66
199501,45.47,70.56,108.28,151.33,200.04,240.08,307.34,401.53,489.82,613.13,762.11,941.78,1163.93,1463.9,1938.96,2597.44,3592.04,5323.12,9237.8,88047.49
199502,48.04,73.26,111.18,156.93,203.11,251.35,315.47,410.29,508.56,639.26,803.24,986.48,1213.95,1533.63,2020.3,2694.9,3803.43,5435.07,9567.11,93603.89
199503,48.04,71.73,107.29,156.53,202.93,256.46,326.65,410.57,503.77,647.48,788.98,1002.39,1232.2,1579.65,2005.95,2739.7,3926.59,5555.28,9500.36,92321.64
199504,46.98,73.42,109.99,157.57,209.2,267.59,330.24,419.46,508.44,636.78,792.73,1000.66,1264.6,1564.13,2031,2789.83,3893.62,5616.12,10156.67,95740.96
199505,47.25,75.47,114.19,163.48,213.17,268.78,333.01,426.39,517.5,653.24,809.1,991.75,1293.31,1610.57,2073.3,2876.39,4045.54,5731.98,10773.01,98400.42
199506,47.36,79.36,121.32,162.67,219.41,286.79,347.36,432.94,536.46,676.79,817.67,1008.46,1313.77,1677.08,2131.68,2871.67,4111.99,5809.27,10910.93,95492.38
199507,50.94,82.92,122.81,168.8,227.15,293.76,375.3,460.37,572.73,699.91,860.95,1058.62,1361.84,1757.73,2184.62,2983.82,4259.35,5936.14,10996.17,99938.8
199508,52.03,85.05,126.42,175.41,232.26,298.82,380.16,473.13,580.12,708.31,874.96,1072.17,1366.26,1762.51,2164.38,3027.39,4371.99,6093.52,11129.59,99727.07
199509,51.38,88.07,127.25,174.97,235.83,303.4,392.03,487.9,596.63,717.11,885.34,1078.31,1356.3,1773.08,2219.39,3068.92,4376.9,6391.67,11613.45,107254.72
199510,47.53,82.83,120.44,164.66,224.81,282.6,362.03,459.44,561.88,686.92,864.98,1064.75,1337.32,1685.04,2223.2,2977.53,4310.13,6182.64,12034.3,106413.51
199511,48.67,82.81,127.28,169.63,230.88,295.12,378.99,470.1,582.42,712.62,907.95,1124.17,1423.17,1799.01,2280.05,3130.79,4415.34,6523.47,12122.73,112117.21
199512,49.21,83.83,127.77,173.58,236.83,309.27,380.14,472.57,590.05,714.85,917.06,1147.66,1396.75,1776.13,2267.71,3107.33,4350.24,6422.63,12245.02,120259.8
199601,48.25,84.64,130.49,180.12,237.17,305.7,383.73,477.24,584.53,709.58,898.17,1153.04,1426.23,1797.73,2310,3094.58,4570.38,6779.35,12692.44,128193.61
199602,49.67,85.84,132.93,182.91,242.29,311.45,389.12,488.81,604.53,741.49,912.51,1171.33,1442.89,1831.25,2322.97,3125.98,4628.91,6874.27,13100.61,126105.77
199603,50.01,88.57,140.63,193.67,246.41,313.03,398.68,499.1,613.23,751.31,936.7,1164.21,1492.08,1876.87,2416.84,3226.97,4699.06,6818.2,13141.58,130072.66
199604,54.86,92.83,146.99,199.19,260.01,333.55,418.27,517.85,628.93,774.84,970.2,1219.98,1516.76,1934.23,2411.96,3237.78,4694.8,6866.55,13003.69,128430.21
199605,58.67,104.85,158.67,212.14,275.2,357.95,441.11,541.41,660.72,810.89,973.18,1257.61,1536.07,1959.56,2442.44,3337.45,4711.41,7047.02,12982.88,137574.11
199606,54.66,96.75,147.42,201.87,264.33,346.95,429.97,525.01,635.8,781.99,984.79,1210.84,1487.92,1905.45,2442.49,3296.78,4653.99,6921.24,13111.39,144224.22
199607,52.67,93.38,136,183.28,246.16,319.56,400.84,483.08,601.58,733.29,910.39,1124.07,1407.69,1801.42,2279.2,3058.3,4427.54,6559.41,12609.07,136514.84
199608,52.28,94.18,145.12,192.54,254.72,335.08,410.1,510.44,641.55,757.45,938.61,1172.99,1481.5,1874.55,2361.98,3157.04,4640.4,6792.07,13352.38,137967.14
199609,53.08,94.79,149.03,198.22,263.9,348.27,424.3,525.25,637.48,765.61,944.54,1188.37,1493.78,1953.48,2486.79,3310.82,4774.07,7079.18,14269.29,150264.2
199610,51.48,94.59,147.15,192.86,260.08,345.86,418.46,516.72,623.29,755.04,929.58,1184.86,1513.1,1941.66,2451.86,3318.8,4660.08,7206.27,13450.25,159758.92
199611,51.45,97.84,153.75,200.27,272.13,356.1,437.19,529.72,641.33,776.76,962.42,1231.15,1588.13,1993.11,2569.82,3393.08,5040.61,7694.38,14193.6,171730.52
199612,53.68,97.32,156.39,203.51,278.39,354.21,433.77,525.97,647.91,792.3,952.66,1205.24,1579.96,1980.04,2594.64,3443.63,4870.7,7543.36,13550.51,162789.88
